time_sec,actual_rps,predicted_rps,phase,scenario,source
120,81.0,81.0,normal,sale_event,observed_history
121,83.0,83.0,normal,sale_event,observed_history
122,91.0,91.0,normal,sale_event,observed_history
123,93.0,93.0,normal,sale_event,observed_history
124,85.0,85.0,normal,sale_event,observed_history
125,83.0,83.0,normal,sale_event,observed_history
126,82.0,82.0,normal,sale_event,observed_history
127,87.0,87.0,normal,sale_event,observed_history
128,90.0,90.0,normal,sale_event,observed_history
129,95.0,95.0,normal,sale_event,observed_history
130,89.0,89.0,normal,sale_event,observed_history
131,95.0,95.0,normal,sale_event,observed_history
132,95.0,95.0,normal,sale_event,observed_history
133,88.0,88.0,normal,sale_event,observed_history
134,100.0,100.0,normal,sale_event,observed_history
135,89.0,89.0,normal,sale_event,observed_history
136,95.0,95.0,normal,sale_event,observed_history
137,87.0,87.0,normal,sale_event,observed_history
138,83.0,83.0,normal,sale_event,observed_history
139,92.0,92.0,normal,sale_event,observed_history
140,99.0,99.0,normal,sale_event,observed_history
141,86.0,86.0,normal,sale_event,observed_history
142,90.0,90.0,normal,sale_event,observed_history
143,93.0,93.0,normal,sale_event,observed_history
144,99.0,99.0,normal,sale_event,observed_history
145,96.0,96.0,normal,sale_event,observed_history
146,81.0,81.0,normal,sale_event,observed_history
147,90.0,90.0,normal,sale_event,observed_history
148,98.0,98.0,normal,sale_event,observed_history
149,86.0,86.0,normal,sale_event,observed_history
150,81.0,81.0,normal,sale_event,observed_history
151,100.0,100.0,normal,sale_event,observed_history
152,94.0,94.0,normal,sale_event,observed_history
153,91.0,91.0,normal,sale_event,observed_history
154,93.0,93.0,normal,sale_event,observed_history
155,95.0,95.0,normal,sale_event,observed_history
156,80.0,80.0,normal,sale_event,observed_history
157,100.0,100.0,normal,sale_event,observed_history
158,99.0,99.0,normal,sale_event,observed_history
159,96.0,96.0,normal,sale_event,observed_history
160,91.0,91.0,normal,sale_event,observed_history
161,92.0,92.0,normal,sale_event,observed_history
162,80.0,80.0,normal,sale_event,observed_history
163,91.0,91.0,normal,sale_event,observed_history
164,83.0,83.0,normal,sale_event,observed_history
165,87.0,87.0,normal,sale_event,observed_history
166,84.0,84.0,normal,sale_event,observed_history
167,86.0,86.0,normal,sale_event,observed_history
168,82.0,82.0,normal,sale_event,observed_history
169,100.0,100.0,normal,sale_event,observed_history
170,92.0,92.0,normal,sale_event,observed_history
171,89.0,89.0,normal,sale_event,observed_history
172,84.0,84.0,normal,sale_event,observed_history
173,93.0,93.0,normal,sale_event,observed_history
174,83.0,83.0,normal,sale_event,observed_history
175,80.0,80.0,normal,sale_event,observed_history
176,99.0,99.0,normal,sale_event,observed_history
177,84.0,84.0,normal,sale_event,observed_history
178,100.0,100.0,normal,sale_event,observed_history
179,80.0,80.0,normal,sale_event,observed_history
180,88.0,78.26278686523438,normal,sale_event,model_forecast
181,97.0,77.71734619140625,normal,sale_event,model_forecast
182,82.0,77.75910949707031,normal,sale_event,model_forecast
183,98.0,78.05364990234375,normal,sale_event,model_forecast
184,87.0,77.71119689941406,normal,sale_event,model_forecast
185,99.0,78.30517578125,normal,sale_event,model_forecast
186,93.0,78.07986450195312,normal,sale_event,model_forecast
187,81.0,78.49752807617188,normal,sale_event,model_forecast
188,94.0,78.53207397460938,normal,sale_event,model_forecast
189,82.0,78.228515625,normal,sale_event,model_forecast
190,92.0,78.60531616210938,normal,sale_event,model_forecast
191,93.0,78.32748413085938,normal,sale_event,model_forecast
192,86.0,78.4173583984375,normal,sale_event,model_forecast
193,95.0,78.56089782714844,normal,sale_event,model_forecast
194,97.0,78.37260437011719,normal,sale_event,model_forecast
195,89.0,78.48335266113281,normal,sale_event,model_forecast
196,83.0,78.8582763671875,normal,sale_event,model_forecast
197,81.0,78.70127868652344,normal,sale_event,model_forecast
198,86.0,78.71015930175781,normal,sale_event,model_forecast
199,100.0,78.51641845703125,normal,sale_event,model_forecast
200,94.0,78.34931945800781,normal,sale_event,model_forecast
201,93.0,78.75349426269531,ramp_up,sale_event,model_forecast
202,97.0,78.84262084960938,ramp_up,sale_event,model_forecast
203,111.0,78.73680114746094,ramp_up,sale_event,model_forecast
204,110.0,78.85115051269531,ramp_up,sale_event,model_forecast
205,102.0,79.40940856933594,ramp_up,sale_event,model_forecast
206,109.0,79.89596557617188,ramp_up,sale_event,model_forecast
207,113.0,80.11512756347656,ramp_up,sale_event,model_forecast
208,114.0,80.45841979980469,ramp_up,sale_event,model_forecast
209,113.0,81.03729248046875,ramp_up,sale_event,model_forecast
210,96.0,81.73240661621094,ramp_up,sale_event,model_forecast
211,105.0,82.20391845703125,ramp_up,sale_event,model_forecast
212,99.0,81.94096374511719,ramp_up,sale_event,model_forecast
213,115.0,82.62791442871094,ramp_up,sale_event,model_forecast
214,119.0,82.61080932617188,ramp_up,sale_event,model_forecast
215,111.0,83.16798400878906,ramp_up,sale_event,model_forecast
216,110.0,83.69184875488281,ramp_up,sale_event,model_forecast
217,104.0,83.95277404785156,ramp_up,sale_event,model_forecast
218,115.0,84.0059814453125,ramp_up,sale_event,model_forecast
219,103.0,84.23565673828125,ramp_up,sale_event,model_forecast
220,121.0,84.83042907714844,ramp_up,sale_event,model_forecast
221,118.0,84.75386047363281,ramp_up,sale_event,model_forecast
222,106.0,85.47723388671875,ramp_up,sale_event,model_forecast
223,124.0,85.96714782714844,ramp_up,sale_event,model_forecast
224,116.0,85.81120300292969,ramp_up,sale_event,model_forecast
225,128.0,86.7650146484375,ramp_up,sale_event,model_forecast
226,110.0,86.9959716796875,ramp_up,sale_event,model_forecast
227,113.0,87.89619445800781,ramp_up,sale_event,model_forecast
228,111.0,87.94276428222656,ramp_up,sale_event,model_forecast
229,115.0,88.29617309570312,ramp_up,sale_event,model_forecast
230,111.0,88.48985290527344,ramp_up,sale_event,model_forecast
231,121.0,88.90272521972656,ramp_up,sale_event,model_forecast
232,115.0,89.0084228515625,ramp_up,sale_event,model_forecast
233,127.0,89.4625244140625,ramp_up,sale_event,model_forecast
234,114.0,89.63392639160156,ramp_up,sale_event,model_forecast
235,129.0,90.26277160644531,ramp_up,sale_event,model_forecast
236,116.0,90.36624145507812,ramp_up,sale_event,model_forecast
237,135.0,91.03343200683594,ramp_up,sale_event,model_forecast
238,119.0,91.42401123046875,ramp_up,sale_event,model_forecast
239,134.0,92.23078918457031,ramp_up,sale_event,model_forecast
240,124.0,92.64973449707031,ramp_up,sale_event,model_forecast
241,130.0,93.37530517578125,ramp_up,sale_event,model_forecast
242,121.0,93.94804382324219,ramp_up,sale_event,model_forecast
243,122.0,94.57969665527344,ramp_up,sale_event,model_forecast
244,134.0,94.9232177734375,ramp_up,sale_event,model_forecast
245,130.0,95.43556213378906,ramp_up,sale_event,model_forecast
246,132.0,96.11686706542969,ramp_up,sale_event,model_forecast
247,124.0,96.69735717773438,ramp_up,sale_event,model_forecast
248,125.0,97.23246765136719,ramp_up,sale_event,model_forecast
249,126.0,97.670654296875,ramp_up,sale_event,model_forecast
250,141.0,98.23576354980469,ramp_up,sale_event,model_forecast
251,135.0,98.85052490234375,ramp_up,sale_event,model_forecast
252,135.0,99.87278747558594,ramp_up,sale_event,model_forecast
253,135.0,100.55482482910156,ramp_up,sale_event,model_forecast
254,141.0,101.34336853027344,ramp_up,sale_event,model_forecast
255,150.0,102.28596496582031,ramp_up,sale_event,model_forecast
256,149.0,103.40536499023438,ramp_up,sale_event,model_forecast
257,143.0,104.73164367675781,ramp_up,sale_event,model_forecast
258,145.0,105.97901916503906,ramp_up,sale_event,model_forecast
259,150.0,107.18086242675781,ramp_up,sale_event,model_forecast
260,136.0,108.57740783691406,ramp_up,sale_event,model_forecast
261,139.0,109.928466796875,ramp_up,sale_event,model_forecast
262,149.0,110.72427368164062,ramp_up,sale_event,model_forecast
263,152.0,111.720458984375,ramp_up,sale_event,model_forecast
264,156.0,112.91285705566406,ramp_up,sale_event,model_forecast
265,144.0,114.04751586914062,ramp_up,sale_event,model_forecast
266,148.0,115.06398010253906,ramp_up,sale_event,model_forecast
267,148.0,115.73841857910156,ramp_up,sale_event,model_forecast
268,141.0,116.57933044433594,ramp_up,sale_event,model_forecast
269,146.0,117.296630859375,ramp_up,sale_event,model_forecast
270,149.0,117.93101501464844,ramp_up,sale_event,model_forecast
271,149.0,118.61454772949219,ramp_up,sale_event,model_forecast
272,156.0,119.35601806640625,ramp_up,sale_event,model_forecast
273,147.0,120.13589477539062,ramp_up,sale_event,model_forecast
274,149.0,120.9925537109375,ramp_up,sale_event,model_forecast
275,152.0,121.69247436523438,ramp_up,sale_event,model_forecast
276,161.0,122.35275268554688,ramp_up,sale_event,model_forecast
277,157.0,123.098388671875,ramp_up,sale_event,model_forecast
278,158.0,123.90206909179688,ramp_up,sale_event,model_forecast
279,160.0,124.66036987304688,ramp_up,sale_event,model_forecast
280,156.0,125.41714477539062,ramp_up,sale_event,model_forecast
281,165.0,126.21449279785156,ramp_up,sale_event,model_forecast
282,161.0,127.0558853149414,ramp_up,sale_event,model_forecast
283,160.0,127.8015365600586,ramp_up,sale_event,model_forecast
284,164.0,128.5273895263672,ramp_up,sale_event,model_forecast
285,168.0,129.26187133789062,ramp_up,sale_event,model_forecast
286,160.0,130.14596557617188,ramp_up,sale_event,model_forecast
287,159.0,130.93548583984375,ramp_up,sale_event,model_forecast
288,158.0,131.51296997070312,ramp_up,sale_event,model_forecast
289,165.0,132.22933959960938,ramp_up,sale_event,model_forecast
290,175.0,133.00430297851562,ramp_up,sale_event,model_forecast
291,173.0,133.94573974609375,ramp_up,sale_event,model_forecast
292,178.0,135.01657104492188,ramp_up,sale_event,model_forecast
293,164.0,136.264892578125,ramp_up,sale_event,model_forecast
294,166.0,137.58242797851562,ramp_up,sale_event,model_forecast
295,162.0,138.5400848388672,ramp_up,sale_event,model_forecast
296,175.0,139.51683044433594,ramp_up,sale_event,model_forecast
297,179.0,140.47708129882812,ramp_up,sale_event,model_forecast
298,167.0,141.64517211914062,ramp_up,sale_event,model_forecast
299,172.0,142.88653564453125,ramp_up,sale_event,model_forecast
300,169.0,143.54965209960938,ramp_up,sale_event,model_forecast
301,177.0,144.69174194335938,ramp_up,sale_event,model_forecast
302,183.0,145.54586791992188,ramp_up,sale_event,model_forecast
303,173.0,146.78684997558594,ramp_up,sale_event,model_forecast
304,182.0,148.01397705078125,ramp_up,sale_event,model_forecast
305,175.0,149.0107421875,ramp_up,sale_event,model_forecast
306,183.0,150.41983032226562,ramp_up,sale_event,model_forecast
307,184.0,151.47735595703125,ramp_up,sale_event,model_forecast
308,179.0,152.8831329345703,ramp_up,sale_event,model_forecast
309,190.0,154.2188720703125,ramp_up,sale_event,model_forecast
310,172.0,155.56552124023438,ramp_up,sale_event,model_forecast
311,189.0,157.18087768554688,ramp_up,sale_event,model_forecast
312,182.0,158.2017364501953,ramp_up,sale_event,model_forecast
313,191.0,159.72308349609375,ramp_up,sale_event,model_forecast
314,190.0,160.85269165039062,ramp_up,sale_event,model_forecast
315,195.0,162.22702026367188,ramp_up,sale_event,model_forecast
316,181.0,163.50778198242188,ramp_up,sale_event,model_forecast
317,180.0,164.84280395507812,ramp_up,sale_event,model_forecast
318,186.0,165.61074829101562,ramp_up,sale_event,model_forecast
319,190.0,166.46246337890625,ramp_up,sale_event,model_forecast
320,192.0,167.52386474609375,ramp_up,sale_event,model_forecast
321,193.0,168.65328979492188,ramp_up,sale_event,model_forecast
322,187.0,169.695068359375,ramp_up,sale_event,model_forecast
323,198.0,170.76168823242188,ramp_up,sale_event,model_forecast
324,187.0,171.67308044433594,ramp_up,sale_event,model_forecast
325,192.0,172.85299682617188,ramp_up,sale_event,model_forecast
326,191.0,173.6499786376953,ramp_up,sale_event,model_forecast
327,190.0,174.569091796875,ramp_up,sale_event,model_forecast
328,205.0,175.52786254882812,ramp_up,sale_event,model_forecast
329,189.0,176.5128173828125,ramp_up,sale_event,model_forecast
330,200.0,177.8701171875,ramp_up,sale_event,model_forecast
331,192.0,178.71878051757812,ramp_up,sale_event,model_forecast
332,196.0,180.00839233398438,ramp_up,sale_event,model_forecast
333,208.0,180.9175262451172,ramp_up,sale_event,model_forecast
334,197.0,182.0828857421875,ramp_up,sale_event,model_forecast
335,209.0,183.42495727539062,ramp_up,sale_event,model_forecast
336,200.0,184.41082763671875,ramp_up,sale_event,model_forecast
337,207.0,185.80479431152344,ramp_up,sale_event,model_forecast
338,211.0,186.89891052246094,ramp_up,sale_event,model_forecast
339,214.0,188.1777801513672,ramp_up,sale_event,model_forecast
340,210.0,189.44117736816406,ramp_up,sale_event,model_forecast
341,195.0,190.7095184326172,ramp_up,sale_event,model_forecast
342,196.0,191.71315002441406,ramp_up,sale_event,model_forecast
343,197.0,192.3846435546875,ramp_up,sale_event,model_forecast
344,206.0,193.14942932128906,ramp_up,sale_event,model_forecast
345,208.0,193.8394775390625,ramp_up,sale_event,model_forecast
346,206.0,194.73770141601562,ramp_up,sale_event,model_forecast
347,220.0,195.63255310058594,ramp_up,sale_event,model_forecast
348,207.0,196.43649291992188,ramp_up,sale_event,model_forecast
349,205.0,197.76641845703125,ramp_up,sale_event,model_forecast
350,208.0,198.43356323242188,ramp_up,sale_event,model_forecast
351,222.0,199.22506713867188,ramp_up,sale_event,model_forecast
352,211.0,200.18821716308594,ramp_up,sale_event,model_forecast
353,218.0,201.41490173339844,ramp_up,sale_event,model_forecast
354,209.0,202.19662475585938,ramp_up,sale_event,model_forecast
355,220.0,203.2923126220703,ramp_up,sale_event,model_forecast
356,208.0,204.11354064941406,ramp_up,sale_event,model_forecast
357,209.0,205.28213500976562,ramp_up,sale_event,model_forecast
358,213.0,205.95359802246094,ramp_up,sale_event,model_forecast
359,213.0,206.82107543945312,ramp_up,sale_event,model_forecast
360,229.0,207.62454223632812,ramp_up,sale_event,model_forecast
361,228.0,208.40879821777344,ramp_up,sale_event,model_forecast
362,223.0,209.67625427246094,ramp_up,sale_event,model_forecast
363,225.0,210.76121520996094,ramp_up,sale_event,model_forecast
364,227.0,211.8162841796875,ramp_up,sale_event,model_forecast
365,213.0,212.90890502929688,ramp_up,sale_event,model_forecast
366,231.0,214.1446075439453,ramp_up,sale_event,model_forecast
367,223.0,214.69236755371094,ramp_up,sale_event,model_forecast
368,231.0,216.1234130859375,ramp_up,sale_event,model_forecast
369,217.0,216.95352172851562,ramp_up,sale_event,model_forecast
370,227.0,218.05191040039062,ramp_up,sale_event,model_forecast
371,227.0,218.79183959960938,ramp_up,sale_event,model_forecast
372,229.0,219.73641967773438,ramp_up,sale_event,model_forecast
373,223.0,220.754150390625,ramp_up,sale_event,model_forecast
374,232.0,221.57501220703125,ramp_up,sale_event,model_forecast
375,238.0,222.3021240234375,ramp_up,sale_event,model_forecast
376,241.0,223.31094360351562,ramp_up,sale_event,model_forecast
377,226.0,224.54672241210938,ramp_up,sale_event,model_forecast
378,223.0,225.69773864746094,ramp_up,sale_event,model_forecast
379,241.0,226.3719024658203,ramp_up,sale_event,model_forecast
380,240.0,227.20001220703125,ramp_up,sale_event,model_forecast
381,245.0,228.61448669433594,ramp_up,sale_event,model_forecast
382,240.0,229.634521484375,ramp_up,sale_event,model_forecast
383,245.0,230.9157257080078,ramp_up,sale_event,model_forecast
384,233.0,231.90008544921875,ramp_up,sale_event,model_forecast
385,237.0,233.30174255371094,ramp_up,sale_event,model_forecast
386,246.0,234.04637145996094,ramp_up,sale_event,model_forecast
387,240.0,235.1665802001953,ramp_up,sale_event,model_forecast
388,238.0,236.45416259765625,ramp_up,sale_event,model_forecast
389,249.0,237.25059509277344,ramp_up,sale_event,model_forecast
390,244.0,238.30067443847656,ramp_up,sale_event,model_forecast
391,242.0,239.48634338378906,ramp_up,sale_event,model_forecast
392,235.0,240.4942626953125,ramp_up,sale_event,model_forecast
393,244.0,241.3482208251953,ramp_up,sale_event,model_forecast
394,244.0,241.98779296875,ramp_up,sale_event,model_forecast
395,255.0,243.08018493652344,ramp_up,sale_event,model_forecast
396,241.0,243.76718139648438,ramp_up,sale_event,model_forecast
397,249.0,244.9792938232422,ramp_up,sale_event,model_forecast
398,249.0,245.3949737548828,ramp_up,sale_event,model_forecast
399,250.0,246.39727783203125,ramp_up,sale_event,model_forecast
400,251.0,247.2291259765625,ramp_up,sale_event,model_forecast
401,569.0,248.10775756835938,peak,sale_event,model_forecast
402,682.0,249.04605102539062,peak,sale_event,model_forecast
403,536.0,261.5877990722656,peak,sale_event,model_forecast
404,514.0,274.39434814453125,peak,sale_event,model_forecast
405,661.0,282.3347473144531,peak,sale_event,model_forecast
406,526.0,292.5332946777344,peak,sale_event,model_forecast
407,658.0,308.5811462402344,peak,sale_event,model_forecast
408,682.0,316.3797607421875,peak,sale_event,model_forecast
409,590.0,330.6641845703125,peak,sale_event,model_forecast
410,645.0,343.84246826171875,peak,sale_event,model_forecast
411,581.0,352.46343994140625,peak,sale_event,model_forecast
412,500.0,363.80126953125,peak,sale_event,model_forecast
413,694.0,372.0205383300781,peak,sale_event,model_forecast
414,516.0,375.87567138671875,peak,sale_event,model_forecast
415,606.0,388.90716552734375,peak,sale_event,model_forecast
416,550.0,390.61285400390625,peak,sale_event,model_forecast
417,663.0,398.89599609375,peak,sale_event,model_forecast
418,532.0,402.2733459472656,peak,sale_event,model_forecast
419,600.0,410.98260498046875,peak,sale_event,model_forecast
420,541.0,412.5589599609375,peak,sale_event,model_forecast
421,644.0,418.6202087402344,peak,sale_event,model_forecast
422,512.0,420.35943603515625,peak,sale_event,model_forecast
423,532.0,426.8863525390625,peak,sale_event,model_forecast
424,642.0,426.62127685546875,peak,sale_event,model_forecast
425,570.0,428.0059814453125,peak,sale_event,model_forecast
426,574.0,433.31781005859375,peak,sale_event,model_forecast
427,530.0,433.6285400390625,peak,sale_event,model_forecast
428,545.0,435.9710388183594,peak,sale_event,model_forecast
429,655.0,436.0777587890625,peak,sale_event,model_forecast
430,515.0,436.5095520019531,peak,sale_event,model_forecast
431,511.0,441.10076904296875,peak,sale_event,model_forecast
432,684.0,439.3279113769531,peak,sale_event,model_forecast
433,540.0,438.3018798828125,peak,sale_event,model_forecast
434,617.0,444.502197265625,peak,sale_event,model_forecast
435,600.0,442.0760803222656,peak,sale_event,model_forecast
436,588.0,445.2119140625,peak,sale_event,model_forecast
437,531.0,446.7312927246094,peak,sale_event,model_forecast
438,665.0,448.5390930175781,peak,sale_event,model_forecast
439,619.0,447.49847412109375,peak,sale_event,model_forecast
440,611.0,452.322509765625,peak,sale_event,model_forecast
441,603.0,453.8559875488281,peak,sale_event,model_forecast
442,550.0,456.01593017578125,peak,sale_event,model_forecast
443,557.0,458.861328125,peak,sale_event,model_forecast
444,671.0,459.75860595703125,peak,sale_event,model_forecast
445,584.0,461.085205078125,peak,sale_event,model_forecast
446,626.0,466.90972900390625,peak,sale_event,model_forecast
447,642.0,467.8929138183594,peak,sale_event,model_forecast
448,693.0,472.26995849609375,peak,sale_event,model_forecast
449,558.0,476.4147644042969,peak,sale_event,model_forecast
450,635.0,482.08544921875,peak,sale_event,model_forecast
451,576.0,483.39971923828125,peak,sale_event,model_forecast
452,603.0,489.21759033203125,peak,sale_event,model_forecast
453,580.0,493.043701171875,peak,sale_event,model_forecast
454,621.0,498.20562744140625,peak,sale_event,model_forecast
455,592.0,502.68408203125,peak,sale_event,model_forecast
456,648.0,508.50115966796875,peak,sale_event,model_forecast
457,672.0,513.26123046875,peak,sale_event,model_forecast
458,601.0,519.13916015625,peak,sale_event,model_forecast
459,647.0,525.5508422851562,peak,sale_event,model_forecast
460,572.0,529.1585693359375,peak,sale_event,model_forecast
461,657.0,534.0888671875,peak,sale_event,model_forecast
462,694.0,533.062744140625,peak,sale_event,model_forecast
463,655.0,537.6756591796875,peak,sale_event,model_forecast
464,565.0,543.3236083984375,peak,sale_event,model_forecast
465,685.0,545.3323974609375,peak,sale_event,model_forecast
466,579.0,543.1251220703125,peak,sale_event,model_forecast
467,522.0,548.1323852539062,peak,sale_event,model_forecast
468,666.0,546.2155151367188,peak,sale_event,model_forecast
469,623.0,544.9047241210938,peak,sale_event,model_forecast
470,517.0,548.0137939453125,peak,sale_event,model_forecast
471,692.0,547.510986328125,peak,sale_event,model_forecast
472,645.0,545.39794921875,peak,sale_event,model_forecast
473,692.0,548.476806640625,peak,sale_event,model_forecast
474,571.0,546.0821533203125,peak,sale_event,model_forecast
475,681.0,550.4932861328125,peak,sale_event,model_forecast
476,679.0,547.1353759765625,peak,sale_event,model_forecast
477,517.0,549.9591064453125,peak,sale_event,model_forecast
478,544.0,550.086669921875,peak,sale_event,model_forecast
479,673.0,549.4637451171875,peak,sale_event,model_forecast
480,623.0,547.13720703125,peak,sale_event,model_forecast
481,625.0,549.7738647460938,peak,sale_event,model_forecast
482,633.0,547.801025390625,peak,sale_event,model_forecast
483,688.0,549.5270385742188,peak,sale_event,model_forecast
484,631.0,548.6431884765625,peak,sale_event,model_forecast
485,680.0,549.340087890625,peak,sale_event,model_forecast
486,504.0,549.8424682617188,peak,sale_event,model_forecast
487,634.0,551.889404296875,peak,sale_event,model_forecast
488,555.0,549.32763671875,peak,sale_event,model_forecast
489,539.0,551.0419921875,peak,sale_event,model_forecast
490,681.0,549.258544921875,peak,sale_event,model_forecast
491,643.0,549.50048828125,peak,sale_event,model_forecast
492,508.0,551.2393798828125,peak,sale_event,model_forecast
493,642.0,550.4625244140625,peak,sale_event,model_forecast
494,511.0,549.6478271484375,peak,sale_event,model_forecast
495,686.0,551.0216064453125,peak,sale_event,model_forecast
496,667.0,548.4764404296875,peak,sale_event,model_forecast
497,604.0,550.7857666015625,peak,sale_event,model_forecast
498,691.0,552.052001953125,peak,sale_event,model_forecast
499,510.0,549.6314697265625,peak,sale_event,model_forecast
500,523.0,553.5524291992188,peak,sale_event,model_forecast
501,585.0,551.219482421875,peak,sale_event,model_forecast
502,573.0,550.6961669921875,peak,sale_event,model_forecast
503,557.0,551.580078125,peak,sale_event,model_forecast
504,534.0,550.8182373046875,peak,sale_event,model_forecast
505,505.0,549.3663330078125,peak,sale_event,model_forecast
506,580.0,549.84814453125,peak,sale_event,model_forecast
507,648.0,547.3882446289062,peak,sale_event,model_forecast
508,695.0,547.20849609375,peak,sale_event,model_forecast
509,581.0,547.1632080078125,peak,sale_event,model_forecast
